,Cell 1,,,Cell 2,,,Cell 3,,,Cell 4,,,
Time,Yaw,Pitch,Roll,Yaw,Pitch ,Roll,Yaw,Pitch ,Roll,Yaw ,Pitch,Roll,
-0.5,-13.2395,13.1217,0.122,5.16396,-6.0662,1.82611,-12.78,-20.833,-2.04218,2.00375,-8.41933,25.2901,-90
-0.48,-13.0709,13.655,-0.476,4.93433,-5.70775,1.61306,-13.1055,-19.7351,-1.79855,2.12786,-8.85644,24.7475,-87.6
-0.46,-12.7689,13.9517,-0.634,4.63168,-5.46648,1.62389,-13.4245,-18.8365,-1.59073,2.36554,-9.058,23.9794,-85.2
-0.44,-12.3197,13.8492,-0.517,4.36405,-5.26676,1.83889,-13.482,-18.2951,-1.33123,2.44089,-9.07711,23.2656,-82.8
-0.42,-11.8384,13.6767,-0.127,4.19064,-5.19676,1.81667,-13.1815,-17.9428,-1.14201,2.39768,-9.29378,22.6464,-80.4
-0.4,-11.6228,13.0925,0.319,4.05741,-5.14042,1.66806,-13.327,-17.4829,-0.92067,2.50804,-9.33156,21.998,-78
-0.38,-11.5213,11.7217,0.607,3.87741,-5.18944,1.49972,-13.7495,-16.8438,-0.755922,3.03696,-9.18311,21.3608,-75.6
-0.36,-11.2334,9.78083,0.631,3.63509,-5.11634,1.53722,-14.5435,-16.177,-0.525028,3.32607,-8.76267,20.576,-73.2
-0.34,-10.7111,8.22417,0.608,3.48927,-4.97169,1.70806,-15.747,-15.7273,-0.110503,3.33214,-8.32556,19.9092,-70.8
-0.32,-10.1161,7.29,0.19,3.41247,-5.07944,1.87194,-16.72,-15.2303,0.297877,3.27839,-7.82289,19.4016,-68.4
-0.3,-9.60505,6.23167,-0.386,3.3054,-4.79859,2.09278,-16.7485,-14.8746,0.656257,3.15571,-7.37022,18.8066,-66
-0.28,-9.12527,4.77,-1.151,3.10829,-4.38296,2.18806,-16.4995,-14.4532,1.06648,2.82357,-7.01778,18.1861,-63.6
-0.26,-8.6057,3.39167,-1.558,2.87549,-4.1793,2.22611,-16.05,-13.9241,1.37291,2.75321,-6.75022,17.4999,-61.2
-0.24,-8.14527,2.235,-1.359,2.5578,-4.11901,2.57639,-15.5295,-13.4955,1.44464,2.58518,-6.58422,16.6874,-58.8
-0.22,-7.6857,1.48833,-1.397,2.29616,-3.72197,2.96194,-14.4915,-12.8452,1.58173,2.41589,-6.20244,15.7252,-56.4
-0.2,-7.2372,1.22917,-1.642,2.15421,-3.22761,2.98583,-13.1605,-11.9859,1.54101,2.08714,-5.52022,14.6502,-54
-0.18,-6.82022,1.26667,-1.904,1.98232,-2.70901,2.66111,-11.9895,-11.1256,1.44475,1.71554,-4.84778,13.4856,-51.6
-0.16,-6.25301,0.660833,-2.192,1.82034,-2.16577,2.40056,-11.415,-10.3032,1.52156,1.36036,-4.58622,12.333,-49.2
-0.14,-5.41161,0.510833,-1.781,1.70537,-1.69437,2.14806,-10.379,-9.348,1.71447,1.15964,-4.54289,11.072,-46.8
-0.12,-4.43355,1.06583,-1.329,1.41637,-1.31479,2.01333,-9.0765,-8.12486,1.73291,0.862143,-4.36267,9.83206,-44.4
-0.1,-3.64855,1.46333,-1.03,1.05098,-1.47028,1.64611,-8.255,-6.64114,1.51022,0.421607,-4.49089,8.60076,-42
-0.08,-2.97355,1.24667,-0.397,0.775,-1.50915,1.09083,-7.2705,-5.26962,1.24358,-0.120893,-4.608,7.27168,-39.6
-0.06,-2.53296,0.969167,0.199,0.577561,-1.52085,0.436667,-5.873,-4.0241,0.946257,-0.522857,-4.40956,5.84262,-37.2
-0.04,-2.07258,0.585,0.698,0.330213,-1.29042,0.253889,-3.653,-2.7839,0.680279,-0.67625,-3.424,4.32583,-34.8
-0.02,-1.24618,0.243333,0.713,0.0777134,-0.783099,0.193056,-1.723,-1.45352,0.35838,-0.445893,-1.82911,2.40665,-32.4
0,0,0,0,0,0,0,0,0,0,0,0,0,-30
0.02,1.73059,0.00166667,-0.893,-0.0667988,0.760423,-0.102778,2.8155,1.70381,-0.519553,0.228393,1.74667,2.41164,-27.6
0.04,4.72952,0.831667,-1.76,-0.115701,1.91155,-0.231944,6.158,3.92314,-0.952179,0.381607,3.82422,4.5922,-25.2
0.06,8.77898,2.43417,-2.176,-0.161616,3.38521,-0.382778,8.991,6.33352,-1.31218,0.602679,6.02911,6.60291,-22.8
0.08,13.0855,4.4475,-2.068,-0.204329,4.4169,-0.531111,10.358,8.70467,-1.7033,0.835,7.75289,8.08044,-20.4
0.1,17.2193,5.62583,-2.423,-0.21064,5.34028,-0.829722,10.834,11.0629,-2.05749,0.849107,8.94156,9.44586,-18
0.12,20.5223,5.33083,-3.689,-0.18875,6.24056,-1.14333,10.9885,12.9594,-2.44592,0.721786,9.84156,10.9104,-15.6
0.14,23.0318,4.36167,-5.042,-0.121524,7.13873,-1.35944,11.329,14.4622,-2.77324,0.808571,10.2398,12.4645,-13.2
0.16,25.0758,3.40167,-5.955,0.0280488,8.20324,-1.47722,11.6955,15.7847,-3.21536,0.711071,10.4484,13.913,-10.8
0.18,26.7618,3.02833,-6.309,0.13125,9.21028,-1.35194,13.079,17.0883,-3.61855,0.839286,10.9329,15.1608,-8.4
0.2,28.2193,3.51167,-6.661,0.188415,9.75817,-1.14,14.183,17.9904,-3.8762,1.07125,11.6062,16.1701,-6
0.22,29.5065,3.42417,-7.145,0.190518,9.82366,-0.8625,14.9095,18.6253,-3.95341,1.06429,11.8789,17.106,-3.6
0.24,30.4615,2.81833,-7.582,0.233567,9.82197,-0.758056,15.615,19.2296,-3.9667,1.01232,12.3827,18.0414,-1.2
0.26,31.2044,2.3925,-7.919,0.139299,9.94662,-0.988611,16.7205,20.0681,-3.87307,0.809643,12.7533,18.9081,1.2
0.28,31.8294,1.90333,-8.369,0.029878,9.94465,-1.46944,17.1145,21.0519,-3.67497,1.02464,12.6302,19.9308,3.6
0.3,32.5397,1.53,-8.969,0.0173476,9.96873,-1.67028,17.02,21.6858,-3.51637,1.38911,12.242,21.0579,6
0.32,33.2069,0.994167,-9.5,0.0240854,9.99915,-2.0425,17.3365,21.9027,-3.35413,1.43089,11.8384,22.0557,8.4
0.34,33.6607,0.203333,-10.045,0.0936585,9.95648,-2.52889,17.9665,22.1558,-3.08212,1.69071,11.8342,23.0219,10.8
0.36,33.976,-0.5625,-10.45,0.14311,9.93789,-2.87333,18.18,22.3743,-3.11123,2.07,12.3229,23.9539,13.2
0.38,34.3623,-0.9725,-10.893,0.0339024,9.92606,-2.95222,17.408,22.5453,-3.1314,2.34661,12.6656,24.8629,15.6
0.4,34.6295,-1.40167,-11.056,-0.0889329,9.7462,-2.94806,17.087,22.537,-3.10385,2.33536,12.8638,25.6607,18
0.42,34.6902,-2.00583,-11.276,-0.222713,9.54746,-3.08139,17.987,22.5596,-3.25324,2.35036,13.3493,26.3136,20.4
0.44,34.7013,-2.685,-11.625,-0.394116,9.44183,-3.19611,18.86,22.6493,-3.43777,2.73857,13.7209,26.9226,22.8
0.46,34.7265,-3.41667,-11.63,-0.479909,9.20803,-3.45694,19.0945,22.627,-3.54916,2.75375,13.8489,27.606,25.2
0.48,34.7554,-3.88667,-11.746,-0.446585,9.00592,-3.80472,19.5035,22.617,-3.61229,3.10036,14.1682,28.2678,27.6
0.5,34.7246,-4.2175,-12.011,-0.421037,8.63521,-4.00639,20.089,22.5293,-3.75698,3.61821,14.0551,28.6989,30
0.52,34.4929,-4.49917,-12.54,-0.342439,7.98155,-3.80667,20.7945,22.407,-3.81145,3.89982,13.7022,29.1264,32.4
0.54,34.1339,-4.5925,-12.832,-0.353323,7.42324,-3.30778,21.42,22.4081,-3.75626,3.78714,13.8813,29.5888,34.8
0.56,34.0631,-4.07333,-12.815,-0.355366,7.20169,-2.71167,22.061,22.5059,-3.66508,3.49714,14.1929,29.941,37.2
0.58,34.2198,-3.29,-12.515,-0.249756,7.06408,-1.89556,22.54,22.5839,-3.62235,3.38232,14.2682,30.4086,39.6
0.6,34.1591,-3.04917,-12.156,-0.12122,7.02775,-1.09194,22.438,22.5893,-3.63196,3.56857,14.1867,30.8407,42
0.62,33.8998,-3.38167,-11.921,-0.0373171,6.85549,-0.6525,22.023,22.7001,-3.7843,3.87661,14.312,31.1897,44.4
0.64,33.5328,-3.82583,-11.891,-0.0380183,6.47451,-0.595,22.19,22.9832,-3.95447,4.33571,14.768,31.4174,46.8
0.66,33.1971,-4.08167,-11.667,-0.105396,6.09761,-0.727222,22.1315,23.3392,-4.12598,4.95357,15.2116,31.6093,49.2
0.68,33.0147,-4.11583,-11.651,-0.316341,5.58211,-0.497222,21.6275,23.7395,-4.23531,5.53054,15.288,32.036,51.6
0.7,32.9351,-4.22333,-12.164,-0.566006,5.11704,-0.36,20.935,24.1773,-4.31112,5.71161,14.936,32.5546,54
0.72,32.7832,-4.42083,-12.584,-0.81125,4.84211,-0.5,20.836,24.3674,-4.39743,5.60732,14.5198,33.1508,56.4
0.74,32.4113,-4.49,-12.783,-0.940488,4.59521,-0.197778,21.4875,24.503,-4.45989,5.40911,14.1067,33.6003,58.8
0.76,32.1387,-4.665,-12.523,-1.00107,4.64479,0.3325,22.592,24.5284,-4.5333,5.36125,13.972,33.958,61.2
0.78,32.0144,-4.73333,-12.325,-1.02884,4.44789,0.6825,23.103,24.5132,-4.66827,5.14107,13.8431,34.3821,63.6
0.8,31.9122,-4.83917,-12.184,-1.19942,3.85141,0.898611,22.807,24.6092,-4.77156,5.33071,13.7324,34.8614,66
0.82,31.779,-5.045,-12.389,-1.43162,3.07394,1.08333,21.9075,24.9453,-4.80229,5.59036,13.6044,35.4392,68.4
0.84,31.7816,-5.46583,-12.292,-1.64704,2.42676,1.46361,21.109,25.261,-4.93179,5.79018,13.3444,36.062,70.8
0.86,31.7726,-6.04,-11.661,-1.8225,1.78056,1.79194,20.365,25.3582,-4.95385,6.10554,13.1738,36.5848,73.2
0.88,31.5831,-6.34,-11.09,-1.90628,1.2262,1.85306,19.4235,25.2632,-4.86291,6.26786,12.8558,37.1242,75.6
0.9,31.1461,-6.39833,-10.805,-1.83244,0.656197,1.67611,18.409,25.1705,-4.74564,6.25554,12.2351,37.6479,78
0.92,30.7978,-6.60583,-11.159,-1.76149,0.313099,1.62833,17.5285,25.3703,-4.80916,5.80393,11.7229,38.1073,80.4
0.94,30.4405,-6.8325,-11.501,-1.87265,0.127606,1.73861,16.763,25.6611,-4.85994,5.13482,11.2987,38.4377,82.8
0.96,30.1747,-7.12417,-12.035,-2.00506,-0.0438028,1.94889,16.1515,25.7947,-4.90804,4.83482,11.1018,38.8224,85.2
0.98,29.8991,-7.26333,-12.806,-2.1011,-0.340845,2.30722,15.213,25.8281,-4.88173,4.55929,11.2493,39.2769,87.6
